test,group1,group2,meandiff,p-adj,reject
Dunn,AlphaFold2,AlphaFold3,-0.1784,1.0,False
Dunn,AlphaFold2,ESM3-Large,-0.0883,1.0,False
Dunn,AlphaFold2,ESM3-Open,1.0959,1.0,False
Dunn,AlphaFold2,ESMFold,-0.0965,1.0,False
Dunn,AlphaFold2,Ember3D,8.4035,8.754005206887045e-08,True
Dunn,AlphaFold3,ESM3-Large,0.0901,1.0,False
Dunn,AlphaFold3,ESM3-Open,1.2742,0.062231045199664214,False
Dunn,AlphaFold3,ESMFold,0.0818,1.0,False
Dunn,AlphaFold3,Ember3D,8.5818,2.5240426179851836e-08,True
Dunn,ESM3-Large,ESM3-Open,1.1842,0.2030972756904677,False
Dunn,ESM3-Large,ESMFold,-0.0083,1.0,False
Dunn,ESM3-Large,Ember3D,8.4917,1.1236480647395778e-09,True
Dunn,ESM3-Open,ESMFold,-1.1924,0.07764594308824342,False
Dunn,ESM3-Open,Ember3D,7.3076,0.0007975513215715313,True
Dunn,ESMFold,Ember3D,8.5,1.2123273425048962e-10,True
