test,group1,group2,meandiff,p-adj,reject
Dunn,AlphaFold2,AlphaFold3,-0.389,6.409742343457936e-14,True
Dunn,AlphaFold2,ESM3-Large,0.0452,1.0,False
Dunn,AlphaFold2,ESM3-Open,1.9147,1.3319246333498714e-26,True
Dunn,AlphaFold2,ESMFold,-0.2229,4.8074161474239464e-05,True
Dunn,AlphaFold2,Ember3D,1.5791,4.641718146277799e-21,True
Dunn,AlphaFold3,ESM3-Large,0.4342,8.93980725460731e-17,True
Dunn,AlphaFold3,ESM3-Open,2.3037,5.2875521112175466e-70,True
Dunn,AlphaFold3,ESMFold,0.1662,0.00502664559323983,True
Dunn,AlphaFold3,Ember3D,1.9681,1.4754810618009184e-61,True
Dunn,ESM3-Large,ESM3-Open,1.8695,1.198966733572954e-22,True
Dunn,ESM3-Large,ESMFold,-0.268,5.165760960424737e-07,True
Dunn,ESM3-Large,Ember3D,1.5339,1.4703306006140195e-17,True
Dunn,ESM3-Open,ESMFold,-2.1375,1.4715966161659922e-53,True
Dunn,ESM3-Open,Ember3D,-0.3356,1.0,False
Dunn,ESMFold,Ember3D,1.8019,1.4960676828211763e-45,True
