test,group1,group2,meandiff,p-adj,reject
Dunn,AlphaFold2,AlphaFold3,0.0006,1.0,False
Dunn,AlphaFold2,ESM3-Large,-0.0141,6.671268690775133e-14,True
Dunn,AlphaFold2,ESM3-Open,-0.1918,1.5676639647091332e-49,True
Dunn,AlphaFold2,ESMFold,-0.008,2.0201990354878486e-07,True
Dunn,AlphaFold2,Ember3D,-0.2609,3.951082618289761e-75,True
Dunn,AlphaFold3,ESM3-Large,-0.0147,3.5624266285198346e-11,True
Dunn,AlphaFold3,ESM3-Open,-0.1924,1.41814601172031e-40,True
Dunn,AlphaFold3,ESMFold,-0.0086,7.235650394325983e-06,True
Dunn,AlphaFold3,Ember3D,-0.2614,8.779846866495354e-62,True
Dunn,ESM3-Large,ESM3-Open,-0.1776,1.4526592375838786e-11,True
Dunn,ESM3-Large,ESMFold,0.0061,0.45972761462701695,False
Dunn,ESM3-Large,Ember3D,-0.2467,2.752520343709841e-25,True
Dunn,ESM3-Open,ESMFold,0.1837,2.176642531541542e-19,True
Dunn,ESM3-Open,Ember3D,-0.0691,0.006713378009532222,True
Dunn,ESMFold,Ember3D,-0.2528,2.2515376004804787e-36,True
