test,group1,group2,meandiff,p-adj,reject
Dunn,AlphaFold2,AlphaFold3,-0.5743,0.016171434288344586,True
Dunn,AlphaFold2,ESM3-Large,-96.7444,1.5328486231269095e-83,True
Dunn,AlphaFold2,ESM3-Open,-96.7444,1.5328486231269095e-83,True
Dunn,AlphaFold2,ESMFold,-8.1178,1.019828110285759e-13,True
Dunn,AlphaFold2,Ember3D,-31.4482,1.168987499414684e-34,True
Dunn,AlphaFold3,ESM3-Large,-96.1701,6.413617238816986e-47,True
Dunn,AlphaFold3,ESM3-Open,-96.1701,6.413617238816986e-47,True
Dunn,AlphaFold3,ESMFold,-7.5436,0.0017375491346342871,True
Dunn,AlphaFold3,Ember3D,-30.8739,4.954695963895181e-15,True
Dunn,ESM3-Large,ESM3-Open,0.0,1.0,False
Dunn,ESM3-Large,ESMFold,88.6265,1.5924693514889566e-30,True
Dunn,ESM3-Large,Ember3D,65.2962,3.650007757603665e-11,True
Dunn,ESM3-Open,ESMFold,88.6265,1.5924693514889566e-30,True
Dunn,ESM3-Open,Ember3D,65.2962,3.650007757603665e-11,True
Dunn,ESMFold,Ember3D,-23.3304,3.7447857252332775e-05,True
