test,group1,group2,meandiff,p-adj,reject
Dunn,AlphaFold2,AlphaFold3,-0.3855,3.1243232387219703e-16,True
Dunn,AlphaFold2,ESM3-Large,-0.0428,1.0,False
Dunn,AlphaFold2,ESM3-Open,1.1317,1.8377552836914508e-17,True
Dunn,AlphaFold2,ESMFold,-0.2357,2.20417721467918e-06,True
Dunn,AlphaFold2,Ember3D,1.4561,3.6038800575655616e-24,True
Dunn,AlphaFold3,ESM3-Large,0.3427,8.204453727045019e-14,True
Dunn,AlphaFold3,ESM3-Open,1.5173,2.3999096059437184e-60,True
Dunn,AlphaFold3,ESMFold,0.1498,0.0034858223991687926,True
Dunn,AlphaFold3,Ember3D,1.8416,2.668622896888329e-71,True
Dunn,ESM3-Large,ESM3-Open,1.1746,1.9715365477724685e-20,True
Dunn,ESM3-Large,ESMFold,-0.1929,9.271276184962764e-05,True
Dunn,ESM3-Large,Ember3D,1.4989,1.2121453349881574e-27,True
Dunn,ESM3-Open,ESMFold,-1.3675,8.868712098668008e-44,True
Dunn,ESM3-Open,Ember3D,0.3244,1.0,False
Dunn,ESMFold,Ember3D,1.6919,4.302712949731496e-54,True
