test,group1,group2,meandiff,p-adj,reject
Dunn,AlphaFold2,AlphaFold3,1.1494,0.04843322894422339,True
Dunn,AlphaFold2,ESM3-Large,0.1686,1.0,False
Dunn,AlphaFold2,ESM3-Open,13.7171,8.968044027600014e-15,True
Dunn,AlphaFold2,ESMFold,4.0983,1.2796878168455403e-07,True
Dunn,AlphaFold2,Ember3D,23.8248,3.663491888352789e-24,True
Dunn,AlphaFold3,ESM3-Large,-0.9809,0.3077801044879052,False
Dunn,AlphaFold3,ESM3-Open,12.5677,8.032435421591863e-06,True
Dunn,AlphaFold3,ESMFold,2.9489,0.09824267296027699,False
Dunn,AlphaFold3,Ember3D,22.6754,4.745928100308257e-12,True
Dunn,ESM3-Large,ESM3-Open,13.5486,1.3892525574685302e-12,True
Dunn,ESM3-Large,ESMFold,3.9297,4.610161756094326e-06,True
Dunn,ESM3-Large,Ember3D,23.6563,2.4412437924223297e-21,True
Dunn,ESM3-Open,ESMFold,-9.6188,0.2954003559051784,False
Dunn,ESM3-Open,Ember3D,10.1077,0.3119281513277734,False
Dunn,ESMFold,Ember3D,19.7266,5.130346170331929e-05,True
