test,group1,group2,meandiff,p-adj,reject
Dunn,AlphaFold2,AlphaFold3,-0.0756,0.024412562614604873,True
Dunn,AlphaFold2,ESM3-Large,-0.0115,1.0,False
Dunn,AlphaFold2,ESM3-Open,-0.5924,1.9084852918248613e-15,True
Dunn,AlphaFold2,ESMFold,-0.245,4.410142767804198e-08,True
Dunn,AlphaFold2,Ember3D,-0.7947,7.686316574412424e-25,True
Dunn,AlphaFold3,ESM3-Large,0.064,0.39327787261170694,False
Dunn,AlphaFold3,ESM3-Open,-0.5169,9.027506578846547e-06,True
Dunn,AlphaFold3,ESMFold,-0.1695,0.1079941587283031,False
Dunn,AlphaFold3,Ember3D,-0.7191,7.422764114672683e-12,True
Dunn,ESM3-Large,ESM3-Open,-0.5809,3.3801840130945548e-12,True
Dunn,ESM3-Large,ESMFold,-0.2335,8.982329105919533e-06,True
Dunn,ESM3-Large,Ember3D,-0.7831,1.1327764309733978e-20,True
Dunn,ESM3-Open,ESMFold,0.3474,0.2883036034139249,False
Dunn,ESM3-Open,Ember3D,-0.2023,0.3453561954099968,False
Dunn,ESMFold,Ember3D,-0.5497,5.9171336530183765e-05,True
