test,group1,group2,meandiff,p-adj,reject
Dunn,AlphaFold2,AlphaFold3,-2.1354,0.3554047511838103,False
Dunn,AlphaFold2,ESM3-Large,-94.3074,9.131721930072529e-25,True
Dunn,AlphaFold2,ESM3-Open,-94.3074,9.131721930072529e-25,True
Dunn,AlphaFold2,ESMFold,-16.6687,6.37074745808206e-05,True
Dunn,AlphaFold2,Ember3D,-58.0568,4.669234257778853e-11,True
Dunn,AlphaFold3,ESM3-Large,-92.172,8.268520607683703e-15,True
Dunn,AlphaFold3,ESM3-Open,-92.172,8.268520607683703e-15,True
Dunn,AlphaFold3,ESMFold,-14.5332,0.3554047511838103,False
Dunn,AlphaFold3,Ember3D,-55.9214,6.426451643847143e-05,True
Dunn,ESM3-Large,ESM3-Open,0.0,1.0,False
Dunn,ESM3-Large,ESMFold,77.6388,4.432694689818627e-08,True
Dunn,ESM3-Large,Ember3D,36.2506,0.005553446796640161,True
Dunn,ESM3-Open,ESMFold,77.6388,4.432694689818627e-08,True
Dunn,ESM3-Open,Ember3D,36.2506,0.005553446796640161,True
Dunn,ESMFold,Ember3D,-41.3881,0.2642138613095488,False
