test,group1,group2,meandiff,p-adj,reject
Dunn,AlphaFold2,AlphaFold3,1.2469,0.017000881851934446,True
Dunn,AlphaFold2,ESM3-Large,0.2983,1.0,False
Dunn,AlphaFold2,ESM3-Open,12.4215,7.305041618402666e-16,True
Dunn,AlphaFold2,ESMFold,3.8869,2.101303981239688e-08,True
Dunn,AlphaFold2,Ember3D,22.2449,1.9674578951354185e-25,True
Dunn,AlphaFold3,ESM3-Large,-0.9486,0.567411010463917,False
Dunn,AlphaFold3,ESM3-Open,11.1746,8.678822984493892e-06,True
Dunn,AlphaFold3,ESMFold,2.64,0.10345456637908948,False
Dunn,AlphaFold3,Ember3D,20.998,6.3574591641934594e-12,True
Dunn,ESM3-Large,ESM3-Open,12.1232,9.584389084154032e-12,True
Dunn,ESM3-Large,ESMFold,3.5886,1.7832713713567618e-05,True
Dunn,ESM3-Large,Ember3D,21.9466,3.8665611728676415e-20,True
Dunn,ESM3-Open,ESMFold,-8.5346,0.293612012400309,False
Dunn,ESM3-Open,Ember3D,9.8234,0.3332188211047039,False
Dunn,ESMFold,Ember3D,18.358,5.725906333433561e-05,True
