TM,Algorithm,ref
0.9625791343651849,AlphaFold2,8CT7
0.9199550611951645,AlphaFold2,6VLM
0.9680638412918723,AlphaFold2,6WE7
0.9661000463578958,AlphaFold2,8CT5
0.9509617005924595,AlphaFold2,7D83
0.9491752854703727,AlphaFold2,6VLH
0.9477452096293796,AlphaFold2,6VQS
0.9475987372040722,AlphaFold2,7T9O
0.9605737017972183,AlphaFold2,7L1P
0.9476620276634921,AlphaFold2,6W42
0.9608323280839347,AlphaFold2,7U2U
0.9263977601525081,AlphaFold2,7LQP
0.9435269088567905,AlphaFold2,6VKA
0.9355838128522554,AlphaFold2,7L23
0.9412594839269631,AlphaFold2,6VRG
0.9564916644105642,AlphaFold2,7SIA
0.9643280673329535,AlphaFold2,6WC8
0.9701071509006433,AlphaFold2,8BV2
0.9398626658430946,AlphaFold2,6LMQ
0.9577963200264813,AlphaFold2,7KE0
0.9452753462730663,AlphaFold2,6L0C
0.9498073729592428,AlphaFold2,6W0U
0.9395039361563469,AlphaFold2,6VX2
0.9496964458216145,AlphaFold2,7RQ0
0.9639977671617945,AlphaFold2,7UOQ
0.9418690666182483,AlphaFold3,8CT7
0.9496055737008334,AlphaFold3,8CT5
0.9689782297475334,AlphaFold3,7T9O
0.9524045227628939,AlphaFold3,7L1P
0.9629978470205088,AlphaFold3,7U2U
0.9147522202214883,AlphaFold3,7LQP
0.937364867646542,AlphaFold3,7L23
0.9460009878501627,AlphaFold3,7SIA
0.9709884668458879,AlphaFold3,8BV2
0.9417557267868859,AlphaFold3,7RQ0
0.9639158101818458,AlphaFold3,7UOQ
0.925177279429264,ESMFold,8CT7
0.9525081102389832,ESMFold,6VLM
0.9515285449447553,ESMFold,6WE7
0.9304667528874422,ESMFold,8CT5
0.942800788561321,ESMFold,7D83
0.9352767877443299,ESMFold,6VLH
0.9392606369943586,ESMFold,6VQS
0.9621714734274667,ESMFold,7T9O
0.9510201371842714,ESMFold,7L1P
0.939217693477771,ESMFold,6W42
0.9596558328539696,ESMFold,7U2U
0.9059181419726383,ESMFold,7LQP
0.9406821504680906,ESMFold,6VKA
0.9317591346520897,ESMFold,7L23
0.9826172314300085,ESMFold,6VRG
0.9521147382307489,ESMFold,7SIA
0.9557781219591205,ESMFold,6WC8
0.9638675997993792,ESMFold,8BV2
0.9376420459492316,ESMFold,6LMQ
0.9565896133743448,ESMFold,7KE0
0.9344677236151103,ESMFold,6L0C
0.9412851058840593,ESMFold,6W0U
0.9476365731112305,ESMFold,6VX2
0.9328166779881621,ESMFold,7RQ0
0.9610144304877405,ESMFold,7UOQ
0.9034882688554153,ESM3-Open,8CT7
0.3560479560537138,ESM3-Open,6VLM
0.8750439216955633,ESM3-Open,6WE7
0.8944934568573804,ESM3-Open,8CT5
0.9175930332912976,ESM3-Open,7D83
0.822902278007359,ESM3-Open,6VLH
